Date : 2025-06-03 20:25:28
Directory : c:\Users\Aqua\Programming\Quantum
Total : 358 files,  188851 codes, 38731 comments, 43907 blanks, all 271489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src\zig\dom\elements                                                                                            |         10 |      2,010 |        326 |        342 |      2,678 |
| src\zig\dom\events                                                                                              |          3 |        441 |        117 |         87 |        645 |
| src\zig\dom\mutations                                                                                           |          3 |        393 |         95 |         93 |        581 |
| src\zig\dom\traversal                                                                                           |          2 |        414 |        130 |        119 |        663 |
| src\zig\engine                                                                                                  |         11 |     10,480 |      1,478 |      1,845 |     13,803 |
| src\zig\engine (Files)                                                                                          |          3 |      2,098 |        422 |        450 |      2,970 |
| src\zig\engine\dom                                                                                              |          1 |        591 |         38 |        133 |        762 |
| src\zig\engine\html                                                                                             |          5 |      5,694 |        713 |        820 |      7,227 |
| src\zig\engine\html (Files)                                                                                     |          1 |        583 |         72 |        116 |        771 |
| src\zig\engine\html\parser                                                                                      |          2 |      2,909 |        457 |        495 |      3,861 |
| src\zig\engine\html\tokenizer                                                                                   |          2 |      2,202 |        184 |        209 |      2,595 |
| src\zig\engine\layout                                                                                           |          1 |      1,214 |        151 |        251 |      1,616 |
| src\zig\engine\render                                                                                           |          1 |        883 |        154 |        191 |      1,228 |
| src\zig\events                                                                                                  |          3 |      1,054 |        285 |        232 |      1,571 |
| src\zig\fonts                                                                                                   |          1 |      1,317 |        120 |        283 |      1,720 |
| src\zig\javascript                                                                                              |          3 |      3,123 |        316 |        703 |      4,142 |
| src\zig\media                                                                                                   |          1 |      1,225 |        182 |        296 |      1,703 |
| src\zig\memory                                                                                                  |          3 |      1,589 |        230 |        428 |      2,247 |
| src\zig\quantum_core                                                                                            |          1 |        467 |         27 |        104 |        598 |
| src\zig\quantum_net                                                                                             |          6 |      1,322 |        207 |        302 |      1,831 |
| src\zig\quantum_net (Files)                                                                                     |          1 |        455 |         79 |        103 |        637 |
| src\zig\quantum_net\http                                                                                        |          5 |        867 |        128 |        199 |      1,194 |
| src\zig\quantum_ram                                                                                             |          1 |        675 |         99 |        175 |        949 |
| src\zig\simd                                                                                                    |          2 |      1,029 |        145 |        237 |      1,411 |
| src\zig\util                                                                                                    |          1 |        125 |         35 |         21 |        181 |
| src\zig\webapi                                                                                                  |          2 |      1,579 |        176 |        356 |      2,111 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\Aqua\Programming\Quantum\.cursor\environment.json                                                      | JSON     |          7 |          0 |          0 |          7 |
| c:\Users\Aqua\Programming\Quantum\README.md                                                                     | Markdown |         82 |          0 |         27 |        109 |
| c:\Users\Aqua\Programming\Quantum\docs\ja\http3_optimization.md                                                 | Markdown |        123 |          0 |         53 |        176 |
| c:\Users\Aqua\Programming\Quantum\docs\ja\nim_world_class_network.md                                            | Markdown |        193 |          0 |         61 |        254 |
| c:\Users\Aqua\Programming\Quantum\rules\directory_structure.md                                                  | Markdown |        394 |          0 |         24 |        418 |
| c:\Users\Aqua\Programming\Quantum\rules\specifications.md                                                       | Markdown |        437 |          0 |        135 |        572 |
| c:\Users\Aqua\Programming\Quantum\rules\technical_requirements.md                                               | Markdown |        544 |          0 |        107 |        651 |
| c:\Users\Aqua\Programming\Quantum\shard.yml                                                                     | YAML     |         21 |          3 |          6 |         30 |
| c:\Users\Aqua\Programming\Quantum\spec\page_spec.cr                                                             | Crystal  |         24 |          0 |          4 |         28 |
| c:\Users\Aqua\Programming\Quantum\spec\resource_scheduler_spec.cr                                               | Crystal  |         19 |          2 |          3 |         24 |
| c:\Users\Aqua\Programming\Quantum\spec\spec_helper.cr                                                           | Crystal  |          6 |          3 |          1 |         10 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\bindings\nim\network.cr                                           | Crystal  |        398 |         74 |        105 |        577 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\bindings\zig\renderer.cr                                          | Crystal  |        132 |         37 |         44 |        213 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\app\main.cr                                               | Crystal  |        430 |        339 |         91 |        860 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\app\quantum_browser.cr                                    | Crystal  |        378 |        251 |         70 |        699 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\config\config.cr                                          | Crystal  |        242 |         20 |         40 |        302 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\dom\css.cr                                                | Crystal  |        490 |        119 |         91 |        700 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\dom\node.cr                                               | Crystal  |        552 |        110 |        147 |        809 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\dom_manager.cr                                            | Crystal  |        548 |        133 |        154 |        835 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\engine.cr                                                 | Crystal  |        464 |        127 |         94 |        685 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\javascript_engine.cr                                      | Crystal  |        813 |        135 |        197 |      1,145 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\layout_engine.cr                                          | Crystal  |      3,765 |        736 |        865 |      5,366 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_client.cr                                   | Crystal  |      1,819 |        359 |        421 |      2,599 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_early_data.cr                               | Crystal  |        644 |        175 |        149 |        968 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_errors.cr                                   | Crystal  |        233 |         28 |         27 |        288 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_frames.cr                                   | Crystal  |        453 |        125 |        124 |        702 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_network_manager.cr                          | Crystal  |        713 |        105 |        154 |        972 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_performance_monitor.cr                      | Crystal  |        666 |        129 |        130 |        925 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_quic_client.cr                              | Crystal  |        858 |        233 |        220 |      1,311 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\http3_varint.cr                                   | Crystal  |        134 |         34 |         18 |        186 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\javascript_parser.cr                              | Crystal  |        590 |        109 |        103 |        802 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\network\network_factory.cr                                | Crystal  |        734 |        137 |        185 |      1,056 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\page.cr                                                   | Crystal  |      1,700 |        327 |        401 |      2,428 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\browser\rendering_engine.cr                                       | Crystal  |      4,795 |      1,309 |      1,179 |      7,283 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\events\event_dispatcher.cr                                        | Crystal  |        546 |        241 |        121 |        908 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\events\optimized_dispatcher.cr                                    | Crystal  |        349 |         83 |         99 |        531 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_browser.cr                                                | Crystal  |         94 |         41 |         20 |        155 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\config.cr                                            | Crystal  |      1,129 |        103 |        230 |      1,462 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\css\css_engine.cr                                    | Crystal  |          0 |          0 |          1 |          1 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\css\layout.cr                                        | Crystal  |        234 |         38 |         34 |        306 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\css\manager.cr                                       | Crystal  |        134 |         26 |         17 |        177 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\css\parser.cr                                        | Crystal  |        164 |         27 |         17 |        208 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\dom\dom_node.cr                                      | Crystal  |        462 |         55 |        103 |        620 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\dom\manager.cr                                       | Crystal  |      3,604 |        530 |        644 |      4,778 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\engine.cr                                            | Crystal  |      3,759 |      1,779 |        794 |      6,332 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\navigation_history.cr                                | Crystal  |        102 |         29 |         17 |        148 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\page.cr                                              | Crystal  |        631 |        164 |         94 |        889 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\page_manager.cr                                      | Crystal  |        217 |         20 |         23 |        260 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\performance_monitor.cr                               | Crystal  |        294 |         73 |         95 |        462 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\resource_scheduler.cr                                | Crystal  |        447 |         76 |         97 |        620 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\security_context.cr                                  | Crystal  |        225 |         23 |         28 |        276 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_core\storage\manager.cr                                   | Crystal  |        590 |         79 |         77 |        746 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_storage\cache\cache_manager.cr                            | Crystal  |        740 |        146 |        191 |      1,077 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_ui\address_bar.cr                                         | Crystal  |         50 |         10 |          5 |         65 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_ui\components.cr                                          | Crystal  |        390 |        102 |         83 |        575 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_ui\manager.cr                                             | Crystal  |        146 |         22 |         21 |        189 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\quantum_ui\ui_layer.cr                                            | Crystal  |      1,026 |        151 |        180 |      1,357 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\shard.yml                                                         | YAML     |         21 |          0 |          6 |         27 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\bookmarks\bookmark_manager.cr                             | Crystal  |        676 |         88 |        148 |        912 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\history\history_manager.cr                                | Crystal  |        598 |         67 |        104 |        769 |
| c:\Users\Aqua\Programming\Quantum\src\crystal\storage\passwords\password_manager.cr                             | Crystal  |        661 |        178 |        190 |      1,029 |
